7	3	7	3	8	1	10	1	9	1
2	2	7	3	3	8	7	4	1	9
9	8	10	2	9	2	9	2	8	2
9	2	8	3	9	3	9	2	7	3
7	3	9	5	8	3	8	3	8	3
8	4	7	3	8	2	8	2	8	4
7	2	8	3	8	2	10	1	9	1
3	1	7	1	6	1	10	1	10	8
7	4	9	3	6	2	9	3	9	2
6	8	4	6	6	4	1	7	5	8
7	5	6	4	7	4	6	4	6	4
8	2	9	2	7	2	9	4	8	1
8	2	9	2	7	3	8	2	9	2
5	8	6	4	9	2	7	6	10	7
7	3	3	2	7	3	8	1	7	7
8	3	7	2	8	2	7	2	7	3
4	4	6	4	7	3	5	3	6	4
3	10	3	10	6	3	4	3	6	8
9	2	9	2	9	2	10	2	9	2
3	1	10	1	10	1	10	2	10	10
7	5	5	5	5	5	5	5	5	5
6	4	7	9	10	1	7	9	9	2
6	4	6	6	7	3	7	5	8	3
7	3	7	7	4	6	6	4	7	8
