6	6	8	1	7	7	10	1	8	1
8	3	7	1	7	2	10	1	7	2
9	9	9	2	10	1	9	1	8	2
10	2	9	4	8	2	10	3	10	1
10	1	10	1	10	1	10	1	10	1
3	7	1	10	5	9	1	10	10	9
4	4	8	2	6	2	10	1	8	2
6	1	8	1	6	2	10	1	10	1
2	4	6	3	6	3	7	2	8	2
7	4	6	2	6	6	6	6	7	4
7	4	7	6	6	5	7	4	7	3
9	2	9	1	8	2	9	1	8	2
9	2	9	2	8	2	8	1	9	1
6	4	5	3	8	2	8	3	8	6
8	2	8	2	8	3	8	1	7	2
3	5	3	2	6	8	6	4	5	6
6	2	8	6	7	3	7	3	7	2
1	5	1	10	1	10	1	6	6	10
10	1	10	1	9	2	9	2	9	2
10	1	10	1	10	1	10	1	10	1
8	5	8	8	8	7	7	7	7	5
6	4	7	9	10	2	5	7	6	3
7	5	8	7	6	4	8	5	7	4
10	7	6	8	9	3	4	2	9	2
