4	8	3	1	4	7	7	3	5	8
1	8	10	7	3	7	5	5	2	10
3	2	2	7	4	5	4	5	4	3
3	3	8	1	2	7	10	9	4	10
2	9	2	9	5	5	2	9	2	9
2	6	2	9	6	9	2	8	3	9
5	5	8	2	8	2	10	1	9	3
2	1	2	1	5	5	10	1	10	10
1	6	2	1	6	6	2	4	9	5
6	5	5	5	4	5	3	6	5	6
3	3	3	7	3	3	3	7	2	3
9	1	9	1	8	2	8	1	8	1
8	2	9	2	9	2	8	2	9	2
8	10	6	3	6	6	6	2	9	5
5	5	8	2	7	3	9	1	6	3
5	7	2	2	5	8	6	4	5	6
3	7	4	5	3	2	5	4	6	6
7	7	7	7	7	7	7	7	7	7
5	10	2	9	3	5	6	5	2	8
3	1	8	2	10	1	10	10	10	8
7	7	7	7	7	5	5	5	5	5
6	5	4	9	10	2	6	9	8	5
5	4	7	7	7	4	7	4	7	5
2	5	3	6	8	3	9	2	8	9
