10	2.2	2.8	2.8
20	1.8	3.3	3.0
30	2.8	4.8	4.4
50	3.6	10.7	6.2
100	7.0	17.0	12.0
150	14.3	33.7	15.8
200	19.1	53.7	?
300	34.7	97.2	?
400	76.0	144.5	?
500	117.5	212.0	?
600	125.0	261.1	?
700	225.8	321.0	?
800	278.7	415.5	?
900	401.8	509.3	?
1000	445.3	582.2	?
2000	1387.6	1500.2	?
3000	2282.0	2531.4	?
4000	3386.7	3413.7	?
5000	4434.4	4655.8	?
6000	5620.6	5767.0	?
7000	6691.0	6884.3	?
8000	7633.0	7891.2	?
9000	8707.6	8931.8	?
10000	9696.1	9979.6	?
