10	3.3	0.7868379274030962	3.9	0.9833848259964152	3.4	1.247180731089123	5.5	0.9188287435643271
20	5.7	1.1104554038771661	7.9	1.2974497585648548	7.7	1.359083692787166	11.4	2.810711357645961
30	9.6	2.502553147487581	12.9	2.0842338534818974	12.1	2.034542945233646	17.5	2.774986345912354
50	17.2	3.397520988014643	22.2	2.653394456917403	20.0	2.169634181146674	28.0	5.266138099214642
100	35.0	7.2806889673986195	50.7	2.77129620286248	40.2	5.9915252068233835	40.2	12.053722372113935
150	62.6	6.471059766066143	80.9	5.182399478619917	67.5	6.375871436909624	54.2	7.62263794653793
200	95.5	8.275643777978846	117.4	8.596790443880785	NaN	NaN	64.6	10.928995266537541
300	166.1	9.991026363492391	190.6	10.106863055171965	NaN	NaN	62.4	11.48151627686866
400	238.3	12.602608714230557	267.8	12.079164718804027	NaN	NaN	72.2	8.753676972792634
500	315.1	24.071867737174028	354.2	16.780930224037043	NaN	NaN	74.8	7.642748713911769
600	391.2	18.707163949246823	431.4	14.324730048974743	NaN	NaN	72.4	8.632427423152771
700	470.7	13.918378443051473	500.4	11.72842092082306	NaN	NaN	61.3	6.382288216932857
800	560.8	15.683997479724356	599.8	11.510891061251511	NaN	NaN	71.7	7.6778158042505815
900	650.3	30.623253076118477	694.6	16.126013600887234	NaN	NaN	74.8	8.480539373412519
1000	750.1	19.535745681084197	791.1	22.265365941659258	NaN	NaN	75.2	11.241024874271918
2000	1714.1	53.98029709918241	1752.4	53.917463976118164	NaN	NaN	78.2	11.131246610510432
3000	2645.8	94.7072144317633	2699.9	78.66717635021611	NaN	NaN	73.4	12.70430707815267
4000	3661.7	74.97023554560836	3701.5	70.08495908780999	NaN	NaN	102.1	19.44649175033893
5000	4689.2	70.80876585497023	4777.4	69.05452924186797	NaN	NaN	182.5	44.285835528078266
6000	5662.0	83.95586007849599	5735.7	80.95941008087942	NaN	NaN	222.3	43.77311916877754
7000	6708.0	75.35957476313146	6786.9	55.57660809041875	NaN	NaN	278.9	32.06531607759387
8000	7733.6	86.71057697199345	7790.1	82.90311777222857	NaN	NaN	359.4	43.98784561235068
9000	8744.8	69.78906043947002	8811.2	82.2346981227754	NaN	NaN	401.6	47.69463340980828
10000	9777.8	48.703754391463505	9846.8	52.131911152997255	NaN	NaN	429.4	60.88369550886346
