WA	47.310568	-121.998721
FL	29.669866	-83.004951
NY	42.932957	-78.812252
NY	42.458584	-75.311836
FL	30.451272	-85.872398
FL	29.14192	-81.140241
FL	29.575246	-82.407395
FL	29.187178	-82.112278
NY	40.624552	-73.989853
WA	47.497419	-122.010699
NY	44.068221	-75.920097
NY	40.706925	-74.008154
FL	30.437954	-84.347459
NY	41.25126	-73.942877
WA	46.798216	-122.871798
NY	44.673438	-75.082041
FL	28.481031	-81.543979
NY	40.825629	-73.893605
FL	30.433478	-84.135913
WA	47.393566	-119.90361
WA	47.92167	-117.262989
NY	40.755332	-73.993172
FL	29.125344	-82.008571
FL	26.251906	-80.165406
NY	40.765243	-73.980438
NY	42.382962	-75.292321
FL	28.99796	-82.016139
NY	42.619466	-75.845544
NY	42.814558	-78.807754
NY	42.670645	-73.55142
FL	28.994902	-82.519629
FL	26.013368	-80.144217
NY	42.77788	-74.197936
NY	44.421607	-75.105077
NY	42.282466	-74.160193
FL	29.7968	-82.156228
FL	28.52038	-81.483543
NY	41.182344	-74.318354
NY	43.208166	-78.56623
NY	41.686123	-74.783554
NY	43.104463	-77.512569
NY	42.782276	-73.944818
NY	43.190312	-77.720018
NY	43.236407	-75.776918
FL	29.059673	-81.905068
NY	41.013742	-73.835421
NY	42.915297	-77.949818
WA	47.695101	-120.799413
NY	42.444889	-74.840217
FL	29.983058	-81.450583
FL	26.628272	-80.132569
FL	28.167211	-81.631589
NY	43.158531	-76.360147
FL	25.92862	-80.182969
NY	41.661466	-74.911474
WA	46.677852	-118.53374
NY	40.776629	-73.953914
NY	42.240535	-77.783192
NY	40.758937	-73.97302
FL	28.164093	-81.647317
WA	45.807631	-121.487682
FL	30.403984	-85.161075
NY	40.754591	-73.976238
FL	30.584683	-83.328781
NY	40.904538	-73.806277
NY	42.900966	-77.42331
NY	42.78481	-77.618049
NY	43.172019	-75.27371
FL	30.442499	-84.29855
NY	42.555834	-77.999451
FL	27.820082	-82.730798
NY	42.192781	-75.012689
NY	43.082793	-74.160753
NY	42.073739	-78.059374
FL	27.427213	-82.438689
FL	28.377455	-82.524063
WA	48.268511	-118.113552
WA	47.006578	-122.118676
