10	3.1	0.8124328132221149	3.4	0.7294730810660528	3.4	0.7294730810660528	4.7	0.5586727879537359
20	5.6	1.4017101326593884	8.1	1.4466192989173068	6.8	0.7704094391945103	11.0	1.8652929850294293
30	8.4	1.7286179728326325	12.1	2.6076847731273043	9.6	1.5072458114056908	15.8	3.3824275282701914
50	14.9	4.309095157454753	22.8	4.069085890467292	16.7	4.183782872473188	28.9	2.403474792045883
100	39.9	8.227276795878451	47.0	9.276958126455028	34.8	4.891362524287072	34.1	7.8191290535455416
150	64.7	9.922164441491583	82.1	10.916112958191666	58.5	6.719701131746858	38.7	5.767434667510329
200	88.5	10.352203078572211	116.6	13.104771620138978	NaN	NaN	41.3	6.7029285363936255
300	172.0	25.423108977463794	204.4	28.573277432174276	NaN	NaN	57.0	10.65783734159984
400	271.7	39.62963318028568	294.6	38.66657268721912	NaN	NaN	68.3	6.633871798881857
500	344.8	34.01705073141997	383.5	19.36158368161034	NaN	NaN	73.2	11.213681061275107
600	439.3	39.660607851166375	472.5	42.99615169314575	NaN	NaN	87.5	14.50240158111752
700	533.7	29.33814872012206	601.4	38.07988151473163	NaN	NaN	76.7	8.934470496005906
800	670.4	51.78369679827812	701.1	36.47147959757048	NaN	NaN	80.8	11.10823958618106
900	739.9	53.97745340673271	799.4	43.5012653095976	NaN	NaN	81.9	8.873558165471165
1000	855.6	54.765818230863665	909.2	54.668192706765055	NaN	NaN	83.7	14.586129512793995
2000	1906.1	45.46164201033658	1950.3	32.68734796100779	NaN	NaN	110.0	9.890916705745731
3000	2938.1	24.81703692296887	2972.9	13.136943536302498	NaN	NaN	113.0	15.15033497451459
4000	3931.9	36.91491134861358	3978.0	11.758049195338485	NaN	NaN	115.8	8.665556378213692
5000	4900.4	47.06938833866444	4978.6	11.369559974598843	NaN	NaN	117.0	10.385511808283692
6000	5910.1	54.253540688474885	5975.6	15.201582470782439	NaN	NaN	129.6	9.666973984448287
7000	6913.1	50.5438825785673	6979.3	8.65521720143406	NaN	NaN	146.0	7.315743040867414
8000	7929.2	44.93108712310441	7984.4	5.830521652133709	NaN	NaN	172.8	14.94906496554216
9000	8921.4	44.58057120603099	8980.4	13.841517905778977	NaN	NaN	191.2	16.172271785497546
10000	9929.8	32.25678622032889	9980.8	15.00031788143171	NaN	NaN	191.6	17.39888288413943
