10	131.5	23.260686141642513	121.4	1.3266972284587015	140.9	1.931329458171236	4.1	0.6748194691915756
20	127.7	6.1620301138504665	135.5	15.076700889120271	189.6	12.00864249180564	7.9	0.6748194691915756
30	130.4	4.16109640551622	136.1	13.823947943912403	275.9	29.975468907024624	11.3	1.1556141587917654
50	142.5	12.748733139414282	148.6	22.8992170978835	693.8	101.25415439370376	20.2	2.8754993834115146
100	165.8	15.407524623507825	173.2	7.17307270728521	2353.0	1042.4812725585816	38.9	3.0423689776225364
150	192.0	5.632334578130102	232.4	26.957118678671876	5504.0	1717.9267380291164	59.2	3.992926583847993
200	206.4	16.384126794431246	258.4	19.414233531509815	NaN	NaN	73.7	3.135135264067565
300	239.6	14.466900365178436	399.8	31.333068540186098	NaN	NaN	113.9	5.945661729025625
400	268.5	4.246901235018304	539.2	30.692931217203743	NaN	NaN	149.8	5.379566754302803
500	315.9	15.326448035862711	677.0	47.3174500741534	NaN	NaN	201.3	13.485200940438373
600	357.6	8.656103900485483	908.5	37.490901429813604	NaN	NaN	244.8	13.891700583585868
700	401.7	13.598552526059528	1101.5	107.59192953795372	NaN	NaN	294.8	13.017018963802734
800	442.3	21.487928499601818	1313.7	61.49150374355794	NaN	NaN	389.7	38.40213861654061
900	497.5	27.76507101125441	1512.0	83.83937536408534	NaN	NaN	427.4	27.652337079096945
1000	568.1	54.23184508198112	1707.4	126.3691763186577	NaN	NaN	507.2	24.218827419674962
2000	1082.2	54.557639373271996	3978.8	314.0610523201882	NaN	NaN	1906.4	282.3900586088965
3000	1692.9	101.42715683344377	6675.3	351.25284751096893	NaN	NaN	4415.6	515.4979588547911
4000	2342.1	224.99281795105375	9213.7	653.7352230637753	NaN	NaN	7910.3	1103.161145668648
5000	3191.4	321.6145932324838	12553.3	717.1660958154142	NaN	NaN	15669.9	1558.1564467983424
6000	4241.4	645.0752230435891	15959.2	1259.416671451408	NaN	NaN	13933.2	1228.4235717269771
7000	5070.1	385.86278450873704	18383.2	1713.9000341287306	NaN	NaN	16409.6	1827.446636682017
8000	7016.6	1002.5440309088154	22205.9	3103.8651732392814	NaN	NaN	18144.7	1409.7157504535173
9000	8247.3	1358.4986733497253	25942.3	2110.886184631394	NaN	NaN	21723.2	2571.4899675043
10000	8069.1	1177.2946392701344	29415.7	3074.754181911771	NaN	NaN	23449.0	2736.202492059913
